name	clade	parent clades
EPI_ISL_414446|OtherEuropean|2020-03-03	20B	20A
EPI_ISL_406800|Hubei|2020-01-01	19A	
EPI_ISL_417684|OtherEuropean|2020-03-06	20B	20A
EPI_ISL_417007|OtherEuropean|2020-03-07	20A	
EPI_ISL_416511|France|2020-03-07	20C	20A
EPI_ISL_416512|France|2020-03-07	20C	20A
EPI_ISL_416513|France|2020-03-07	20C	20A
EPI_ISL_416509|France|2020-03-06	20C	20A
EPI_ISL_416510|France|2020-03-06	20C	20A
EPI_ISL_416506|France|2020-03-03	20C	20A
EPI_ISL_416508|France|2020-03-06	20C	20A
EPI_ISL_416507|France|2020-03-05	19A	
EPI_ISL_413489|Italy|2020-03-03	20A	
EPI_ISL_413488|Germany|2020-02-28	19A	
EPI_ISL_417421|Italy|2020-03-01	20A	
EPI_ISL_417418|Italy|2020-03-01	20A	
EPI_ISL_417419|Italy|2020-03-01	20A	
EPI_ISL_417491|Italy|2020-03-03	20A	
EPI_ISL_417423|Italy|2020-03-01	20A	
EPI_ISL_408431|France|2020-01-29	19A	
EPI_ISL_414524|OtherEuropean|2020-03-01	20A	
EPI_ISL_414507|Germany|2020-03-03	20B	20A
EPI_ISL_414505|Germany|2020-02-27	19A	
EPI_ISL_414504|Germany|2020-02-26	19A	
EPI_ISL_414509|Germany|2020-02-28	19A	
EPI_ISL_414506|Germany|2020-02-27	19A	
EPI_ISL_414508|Germany|2020-02-27	19A	
EPI_ISL_408430|France|2020-01-29	19A	
EPI_ISL_414521|Germany|2020-03-02	19B	
EPI_ISL_414520|Germany|2020-03-02	19A	
EPI_ISL_414574|Germany|2020-02-28	19A	
EPI_ISL_414564|OtherEuropean|2020-03-08	20B	20A
EPI_ISL_414598|OtherEuropean|2020-03-05	19B	
EPI_ISL_414470|OtherEuropean|2020-03-06	20B	20A
EPI_ISL_414461|OtherEuropean|2020-03-04	20A	
EPI_ISL_406862|Germany|2020-01-28	19A	
EPI_ISL_414477|OtherEuropean|2020-03-01	20A	
EPI_ISL_415704|OtherEuropean|2020-03-04	20A	
EPI_ISL_414495|OtherEuropean|2020-03-08	20A	
EPI_ISL_414497|Germany|2020-02-25	19A	
EPI_ISL_414499|Germany|2020-02-26	19A	
EPI_ISL_414498|Germany|2020-02-26	19A	
EPI_ISL_414496|OtherEuropean|2020-03-04	19B	
EPI_ISL_417334|France|2020-03-04	20A	
EPI_ISL_417340|France|2020-03-07	20C	20A
EPI_ISL_417338|France|2020-03-07	20C	20A
EPI_ISL_417336|France|2020-03-06	20A	
EPI_ISL_417337|France|2020-03-07	20A	
EPI_ISL_417339|France|2020-03-08	20A	
EPI_ISL_417333|France|2020-03-04	20A	
EPI_ISL_417335|France|2020-03-06	19A	
EPI_ISL_417432|OtherEuropean|2020-03-08	19A	
EPI_ISL_415650|France|2020-03-02	20C	20A
EPI_ISL_415649|France|2020-03-05	20C	20A
EPI_ISL_415652|France|2020-03-05	20A	
EPI_ISL_415651|France|2020-03-05	20A	
EPI_ISL_417489|OtherEuropean|2020-02-29	19A	
EPI_ISL_417447|Italy|2020-02-24	20A	
EPI_ISL_415646|OtherEuropean|2020-03-03	20A	
EPI_ISL_406798|Hubei|2019-12-26	19A	
EPI_ISL_415653|France|2020-03-08	20A	
EPI_ISL_417445|Italy|2020-02-24	20A	
EPI_ISL_416504|France|2020-03-02	20C	20A
EPI_ISL_416505|France|2020-03-02	20C	20A
EPI_ISL_416502|France|2020-02-26	20C	20A
EPI_ISL_417880|OtherEuropean|2020-03-08	19A	
EPI_ISL_416503|France|2020-03-01	19A	
EPI_ISL_418011|OtherEuropean|2020-03-04	20B	20A
EPI_ISL_416493|France|2020-03-08	20A	
EPI_ISL_416494|France|2020-03-04	20A	
EPI_ISL_415143|OtherEuropean|2020-03-02	19A	
EPI_ISL_415149|OtherEuropean|2020-03-01	19A	
EPI_ISL_412980|Hubei|2020-01-18	19B	
EPI_ISL_412981|Hubei|2020-01-18	19A	
EPI_ISL_416485|OtherEuropean|2020-02-27	19B	
EPI_ISL_416483|OtherEuropean|2020-02-26	19B	
EPI_ISL_416475|OtherEuropean|2020-03-03	20B	20A
EPI_ISL_414626|France|2020-02-29	20A	
EPI_ISL_414638|France|2020-03-04	20A	
EPI_ISL_414635|France|2020-03-04	20C	20A
EPI_ISL_414631|France|2020-03-04	20A	
EPI_ISL_414624|France|2020-02-26	20A	
EPI_ISL_414633|France|2020-03-04	20A	
EPI_ISL_414625|France|2020-02-26	20C	20A
EPI_ISL_414630|France|2020-03-03	20C	20A
